"Outcome","Model","k_Studies","n_Observations","n_Outliers","Pooled_Effect_lnRR","Percent_Change","CI_Lower_95","CI_Upper_95","SE","Z_value","P_value","Tau2","I2_percent","Cochran_Q","Q_P_value","Egger_Z","Egger_P","Trimfill_Studies","Method","Fail_Safe_N","Alpha","Interpretation"
"Firmness","Nested (All Data)",2,15,0,0.0156,1.57,-0.0057,0.0368,0.0108,1.438,0.1504,0.0015,85.29,165.5384,0,NA,NA,NA,"Rosenthal (Study-Level Approximation) / Orwin (Study-Level Approximation)","0 / 2","0.05","Not Robust"
"Firmness","Nested (Outliers Removed)",2,15,0,0.0156,1.57,-0.0057,0.0368,0.0108,1.438,0.1504,0.0015,85.29,165.5384,0,NA,NA,NA,"Rosenthal (Study-Level Approximation) / Orwin (Study-Level Approximation)","0 / 2","0.05","Not Robust"
"Firmness","Study-Level (All Data)",2,2,0,0.012,1.21,-0.0063,0.0304,0.0093,1.2884,0.1976,0,0,0.9797,0.3223,NA,NA,NA,"Rosenthal / Orwin","0 / 2","0.05","Not Robust"
"Firmness","Study-Level (Outliers Removed)",2,2,0,0.012,1.21,-0.0063,0.0304,0.0093,1.2884,0.1976,0,0,0.9797,0.3223,NA,NA,NA,"Rosenthal / Orwin","0 / 2","0.05","Not Robust"
"Lyco","Nested (All Data)",4,101,1,0.0872,9.11,0.0787,0.0957,0.0043,20.1503,0,0.0017,88.88,1971.5356,0,NA,NA,NA,"Rosenthal (Study-Level Approximation) / Orwin (Study-Level Approximation)","594 / 4","0.05","Very Robust / Not Robust"
"Lyco","Nested (Outliers Removed)",4,100,1,0.0853,8.91,0.0776,0.0931,0.004,21.6022,0,0.0014,86.52,1670.5432,0,NA,NA,NA,"Rosenthal (Study-Level Approximation) / Orwin (Study-Level Approximation)","509 / 4","0.05","Very Robust / Not Robust"
"Lyco","Study-Level (Outliers Removed)",4,4,1,0.081,8.44,0.062,0.1,0.0097,8.3608,0,3e-04,76.54,12.0412,0.0072,-0.289,0.7726,0,"Rosenthal / Orwin","509 / 4","0.05","Very Robust / Not Robust"
"MWP","Nested (All Data)",9,82,5,-0.0636,-6.17,-0.3862,0.2589,0.1646,-0.3867,0.699,0.2617,99.85,15070.623,0,NA,NA,NA,"Rosenthal (Study-Level Approximation) / Orwin (Study-Level Approximation)","31 / 9","0.05","Robust / Not Robust"
"MWP","Nested (Outliers Removed)",8,77,5,0.0947,9.93,0.0193,0.1701,0.0385,2.4613,0.0138,0.0252,98.59,7671.0044,0,NA,NA,NA,"Rosenthal (Study-Level Approximation) / Orwin (Study-Level Approximation)","778 / 8","0.05","Very Robust / Not Robust"
"MWP","Study-Level (All Data)",9,9,5,-0.0668,-6.46,-0.3955,0.2619,0.1677,-0.3981,0.6905,0.2525,99.88,1999.3236,0,-1.3658,0.172,0,"Rosenthal / Orwin","31 / 9","0.05","Robust / Not Robust"
"MWP","Study-Level (Outliers Removed)",8,8,5,0.0996,10.47,0.0294,0.1698,0.0358,2.78,0.0054,0.0097,97.3,260.5078,0,0.0459,0.9634,0,"Rosenthal / Orwin","778 / 8","0.05","Very Robust / Not Robust"
"MY","Nested (All Data)",42,535,43,0.1609,17.45,0.0237,0.2981,0.07,2.2978,0.0216,0.4455,99.23,232196.8766,0,NA,NA,NA,"Rosenthal (Study-Level Approximation) / Orwin (Study-Level Approximation)","21182 / 42","0.05","Very Robust / Not Robust"
"MY","Nested (Outliers Removed)",42,492,43,0.0984,10.34,0.0083,0.1886,0.046,2.1398,0.0324,0.1428,97.77,58752.6403,0,NA,NA,NA,"Rosenthal (Study-Level Approximation) / Orwin (Study-Level Approximation)","7543 / 42","0.05","Very Robust / Not Robust"
"pH","Nested (All Data)",3,15,0,-0.0221,-2.19,-0.0341,-0.0102,0.0061,-3.6205,3e-04,6e-04,99.82,7907.3488,0,NA,NA,NA,"Rosenthal (Study-Level Approximation) / Orwin (Study-Level Approximation)","937 / 3","0.05","Very Robust / Not Robust"
"pH","Nested (Outliers Removed)",3,15,0,-0.0221,-2.19,-0.0341,-0.0102,0.0061,-3.6205,3e-04,6e-04,99.82,7907.3488,0,NA,NA,NA,"Rosenthal (Study-Level Approximation) / Orwin (Study-Level Approximation)","937 / 3","0.05","Very Robust / Not Robust"
"pH","Study-Level (All Data)",3,3,0,-0.0167,-1.66,-0.0294,-0.0041,0.0065,-2.5854,0.0097,1e-04,99.21,253.5432,0,NA,NA,NA,"Rosenthal / Orwin","937 / 3","0.05","Very Robust / Not Robust"
"pH","Study-Level (Outliers Removed)",3,3,0,-0.0167,-1.66,-0.0294,-0.0041,0.0065,-2.5854,0.0097,1e-04,99.21,253.5432,0,NA,NA,NA,"Rosenthal / Orwin","937 / 3","0.05","Very Robust / Not Robust"
"SAR","Nested (All Data)",6,105,1,0.1829,20.07,0.0694,0.2965,0.0579,3.1585,0.0016,0.0262,94.4,10462.7589,0,NA,NA,NA,"Rosenthal (Study-Level Approximation) / Orwin (Study-Level Approximation)","1078 / 6","0.05","Very Robust / Not Robust"
"SAR","Nested (Outliers Removed)",6,104,1,0.1786,19.55,0.068,0.2891,0.0564,3.1661,0.0015,0.0247,94.16,10402.7952,0,NA,NA,NA,"Rosenthal (Study-Level Approximation) / Orwin (Study-Level Approximation)","1063 / 6","0.05","Very Robust / Not Robust"
"SAR","Study-Level (All Data)",6,6,1,0.1852,20.35,0.0659,0.3045,0.0609,3.0428,0.0023,0.021,98.71,470.2934,0,0.4102,0.6817,0,"Rosenthal / Orwin","1078 / 6","0.05","Very Robust / Not Robust"
"SAR","Study-Level (Outliers Removed)",6,6,1,0.1801,19.73,0.0641,0.296,0.0592,3.0441,0.0023,0.0198,98.64,466.3349,0,0.3377,0.7356,0,"Rosenthal / Orwin","1063 / 6","0.05","Very Robust / Not Robust"
"Sugar","Nested (All Data)",3,43,0,0.0686,7.1,-0.0387,0.1759,0.0547,1.2531,0.2102,0.0164,89.99,361.8601,0,NA,NA,NA,"Rosenthal (Study-Level Approximation) / Orwin (Study-Level Approximation)","5 / 3","0.05","Robust / Not Robust"
"Sugar","Nested (Outliers Removed)",3,43,0,0.0686,7.1,-0.0387,0.1759,0.0547,1.2531,0.2102,0.0164,89.99,361.8601,0,NA,NA,NA,"Rosenthal (Study-Level Approximation) / Orwin (Study-Level Approximation)","5 / 3","0.05","Robust / Not Robust"
"Sugar","Study-Level (All Data)",3,3,0,0.0696,7.2,-0.0265,0.1656,0.049,1.4195,0.1558,0.0052,72.65,7.7894,0.0203,1.1007,0.271,0,"Rosenthal / Orwin","5 / 3","0.05","Robust / Not Robust"
"Sugar","Study-Level (Outliers Removed)",3,3,0,0.0696,7.2,-0.0265,0.1656,0.049,1.4195,0.1558,0.0052,72.65,7.7894,0.0203,1.1007,0.271,0,"Rosenthal / Orwin","5 / 3","0.05","Robust / Not Robust"
"Tacid","Nested (All Data)",9,120,11,0.002,0.2,-0.0767,0.0806,0.0401,0.0486,0.9612,0.0181,88.31,1722.3942,0,NA,NA,NA,"Rosenthal (Study-Level Approximation) / Orwin (Study-Level Approximation)","0 / 9","0.05","Not Robust"
"Tacid","Nested (Outliers Removed)",9,109,11,7e-04,0.07,-0.058,0.0594,0.03,0.0236,0.9811,0.01,80.31,940.5634,0,NA,NA,NA,"Rosenthal (Study-Level Approximation) / Orwin (Study-Level Approximation)","0 / 9","0.05","Not Robust"
"Tacid","Study-Level (All Data)",9,9,11,0.008,0.8,-0.075,0.0909,0.0423,0.1885,0.8505,0.014,93.77,151.9112,0,0.0545,0.9565,0,"Rosenthal / Orwin","0 / 9","0.05","Not Robust"
"Tacid","Study-Level (Outliers Removed)",9,9,11,0.0037,0.37,-0.0625,0.07,0.0338,0.1102,0.9123,0.0084,89.95,88.9734,0,0.3547,0.7228,0,"Rosenthal / Orwin","0 / 9","0.05","Not Robust"
