"Outcome","Moderator","Moderator_Display","Level","n_effects","n_studies","B_Coefficient","Estimate_lnRR","Estimate_Percent","SE","CI_Lower","CI_Upper","Z_value","P_Value","Omnibus_QM","Omnibus_P","Model"
"TY","GMM","Mulch material","biodegradable film",262,37,0.025,0.025,2.53,0.0668,-0.1058,0.1558,0.3745,0.708,11.9067,0.0181,"Nested (Outliers Removed)"
"TY","GMM","Mulch material","organic",69,8,0.1527,0.1527,16.49,0.0548,0.0453,0.26,2.7872,0.0053,11.9067,0.0181,"Nested (Outliers Removed)"
"TY","GMM","Mulch material","polyethylene",8,1,0.1232,0.1232,13.11,0.0391,0.0466,0.1997,3.1537,0.0016,11.9067,0.0181,"Nested (Outliers Removed)"
"TY","GMM","Mulch material","sand",34,7,0.0621,0.0621,6.4,0.1184,-0.1699,0.2941,0.5245,0.5999,11.9067,0.0181,"Nested (Outliers Removed)"
"TY","GMC","Mulch color","Black",39,7,0.1322,0.1322,14.14,0.0408,0.0522,0.2122,3.2396,0.0012,12.5761,0.0277,"Nested (Outliers Removed)"
"TY","GMC","Mulch color","Red",92,10,0.2213,0.2213,24.77,0.1508,-0.0743,0.5169,1.4674,0.1423,12.5761,0.0277,"Nested (Outliers Removed)"
"TY","GMC","Mulch color","Silver",191,31,0.2823,0.2823,32.61,0.212,-0.1334,0.6979,1.3311,0.1832,12.5761,0.0277,"Nested (Outliers Removed)"
"TY","GMC","Mulch color","Transparent",2,2,0.0794,0.0794,8.26,0.0576,-0.0335,0.1922,1.3777,0.1683,12.5761,0.0277,"Nested (Outliers Removed)"
"TY","GMC","Mulch color","White",1,1,0.1057,0.1057,11.14,0.0635,-0.0189,0.2302,1.6632,0.0963,12.5761,0.0277,"Nested (Outliers Removed)"
"TY","Gem","Emitter flow rate","<2",138,15,0.1322,0.1322,14.13,0.0651,0.0046,0.2598,2.0303,0.0423,12.5411,0.0019,"Nested (Outliers Removed)"
"TY","Gem","Emitter flow rate","2–4",74,9,0.1818,0.1818,19.94,0.0532,0.0776,0.286,3.4198,6e-04,12.5411,0.0019,"Nested (Outliers Removed)"
"TY","Arragement","Arragement","subsurface",328,40,0.1428,0.1428,15.35,0.068,0.0095,0.2761,2.0995,0.0358,8.6121,0.0135,"Nested (Outliers Removed)"
"TY","Arragement","Arragement","surface",47,6,0.1027,0.1027,10.81,0.0384,0.0274,0.178,2.6721,0.0075,8.6121,0.0135,"Nested (Outliers Removed)"
"TY","GST","Soil texture","coarse soils",121,14,0.1738,0.1738,18.98,0.0616,0.0531,0.2945,2.8214,0.0048,10.7972,0.0129,"Nested (Outliers Removed)"
"TY","GST","Soil texture","fine soils",166,15,0.0711,0.0711,7.37,0.0811,-0.0878,0.23,0.877,0.3805,10.7972,0.0129,"Nested (Outliers Removed)"
"TY","GST","Soil texture","medium soils",62,9,0.0927,0.0927,9.71,0.0644,-0.0336,0.2189,1.438,0.1504,10.7972,0.0129,"Nested (Outliers Removed)"
"TY","GpH","Soil pH","<7",192,17,0.1655,0.1655,18,0.0745,0.0196,0.3115,2.2232,0.0262,4.9456,0.0843,"Nested (Outliers Removed)"
"TY","GpH","Soil pH","≥7",38,6,0.0231,0.0231,2.33,0.0458,-0.0668,0.1129,0.5033,0.6147,4.9456,0.0843,"Nested (Outliers Removed)"
"TY","GSOM","Soil organic matter","< 1.5%",45,9,0.2118,0.2118,23.58,0.0641,0.086,0.3375,3.3012,0.001,11.4711,0.0032,"Nested (Outliers Removed)"
"TY","GSOM","Soil organic matter","≥ 1.5%",78,8,-0.0159,-0.0159,-1.58,0.0629,-0.1392,0.1074,-0.2524,0.8007,11.4711,0.0032,"Nested (Outliers Removed)"
"TY","GECe","Soil salinity","<2",20,2,-0.0145,-0.0145,-1.44,0.0612,-0.1345,0.1055,-0.2362,0.8133,7.8025,0.0991,"Nested (Outliers Removed)"
"TY","GECe","Soil salinity",">16",141,12,-0.0469,-0.0469,-4.58,0.2252,-0.4884,0.3945,-0.2084,0.8349,7.8025,0.0991,"Nested (Outliers Removed)"
"TY","GECe","Soil salinity","2–4",4,1,0.348,0.348,41.63,0.1419,0.0699,0.6262,2.4525,0.0142,7.8025,0.0991,"Nested (Outliers Removed)"
"TY","GECe","Soil salinity","4–8",11,2,-0.1926,-0.1926,-17.52,0.1482,-0.4832,0.0979,-1.2994,0.1938,7.8025,0.0991,"Nested (Outliers Removed)"
"TY","Gbd","Soil bulk density","<1.35",170,13,0.126,0.126,13.43,0.0783,-0.0275,0.2796,1.6091,0.1076,2.5932,0.2735,"Nested (Outliers Removed)"
"TY","Gbd","Soil bulk density","≥ 1.35",44,6,0.0033,0.0033,0.33,0.0528,-0.1003,0.1068,0.0621,0.9505,2.5932,0.2735,"Nested (Outliers Removed)"
"TY","GCLI","Climate zone","Arid",198,17,0.0038,0.0038,0.38,0.0552,-0.1045,0.1121,0.0686,0.9453,16.1162,0.0029,"Nested (Outliers Removed)"
"TY","GCLI","Climate zone","Boreal",146,19,0.0766,0.0766,7.96,0.1399,-0.1976,0.3507,0.5475,0.584,16.1162,0.0029,"Nested (Outliers Removed)"
"TY","GCLI","Climate zone","Equatorial",17,4,0.2112,0.2112,23.52,0.1163,-0.0166,0.4391,1.817,0.0692,16.1162,0.0029,"Nested (Outliers Removed)"
"TY","GCLI","Climate zone","Warm temperate",13,3,0.1913,0.1913,21.08,0.0541,0.0853,0.2973,3.537,4e-04,16.1162,0.0029,"Nested (Outliers Removed)"
"TY","GSRain","Rainfall",">500 ",105,19,-0.1108,-0.1108,-10.49,0.0811,-0.2697,0.0482,-1.3661,0.1719,7.1368,0.0677,"Nested (Outliers Removed)"
"TY","GSRain","Rainfall","≤200",14,3,0.0112,0.0112,1.13,0.044,-0.075,0.0974,0.2552,0.7986,7.1368,0.0677,"Nested (Outliers Removed)"
"TY","GSRain","Rainfall","200–500",108,13,0.0669,0.0669,6.92,0.0476,-0.0265,0.1603,1.404,0.1603,7.1368,0.0677,"Nested (Outliers Removed)"
"TY","GN","Nitrogen","<100",90,14,0.0879,0.0879,9.19,0.054,-0.0179,0.1937,1.6286,0.1034,5.1121,0.276,"Nested (Outliers Removed)"
"TY","GN","Nitrogen",">300",66,10,0.0529,0.0529,5.43,0.0742,-0.0926,0.1984,0.7129,0.4759,5.1121,0.276,"Nested (Outliers Removed)"
