"Outcome","Moderator","Moderator_Display","Level","n_effects","n_studies","B_Coefficient","Estimate_lnRR","Estimate_Percent","SE","CI_Lower","CI_Upper","Z_value","P_Value","Omnibus_QM","Omnibus_P","Model"
"TY","GMM","Mulch material","organic",69,8,0.1527,0.1527,16.49,0.0548,0.0453,0.26,2.7872,0.0053,11.9067,0.0181,"Nested (Outliers Removed)"
"TY","GMM","Mulch material","polyethylene",8,1,0.1232,0.1232,13.11,0.0391,0.0466,0.1997,3.1537,0.0016,11.9067,0.0181,"Nested (Outliers Removed)"
"TY","GMC","Mulch color","Black",39,7,0.1322,0.1322,14.14,0.0408,0.0522,0.2122,3.2396,0.0012,12.5761,0.0277,"Nested (Outliers Removed)"
"TY","Gem","Emitter flow rate","<2",138,15,0.1322,0.1322,14.13,0.0651,0.0046,0.2598,2.0303,0.0423,12.5411,0.0019,"Nested (Outliers Removed)"
"TY","Gem","Emitter flow rate","2–4",74,9,0.1818,0.1818,19.94,0.0532,0.0776,0.286,3.4198,6e-04,12.5411,0.0019,"Nested (Outliers Removed)"
"TY","Arragement","Arragement","subsurface",328,40,0.1428,0.1428,15.35,0.068,0.0095,0.2761,2.0995,0.0358,8.6121,0.0135,"Nested (Outliers Removed)"
"TY","Arragement","Arragement","surface",47,6,0.1027,0.1027,10.81,0.0384,0.0274,0.178,2.6721,0.0075,8.6121,0.0135,"Nested (Outliers Removed)"
"TY","GST","Soil texture","coarse soils",121,14,0.1738,0.1738,18.98,0.0616,0.0531,0.2945,2.8214,0.0048,10.7972,0.0129,"Nested (Outliers Removed)"
"TY","GpH","Soil pH","<7",192,17,0.1655,0.1655,18,0.0745,0.0196,0.3115,2.2232,0.0262,4.9456,0.0843,"Nested (Outliers Removed)"
"TY","GSOM","Soil organic matter","< 1.5%",45,9,0.2118,0.2118,23.58,0.0641,0.086,0.3375,3.3012,0.001,11.4711,0.0032,"Nested (Outliers Removed)"
"TY","GECe","Soil salinity","2–4",4,1,0.348,0.348,41.63,0.1419,0.0699,0.6262,2.4525,0.0142,7.8025,0.0991,"Nested (Outliers Removed)"
"TY","GCLI","Climate zone","Warm temperate",13,3,0.1913,0.1913,21.08,0.0541,0.0853,0.2973,3.537,4e-04,16.1162,0.0029,"Nested (Outliers Removed)"
