"unique_id","Study","Effect_ID","n_Treat","n_CK","Effect_Size_lnRR","Percent_Change","Variance","Outlier_Reason"
"2_13","2","13",3,3,-1.29722611373836,-72.6711185308849,0.0132494706230405,"IQR-based on yi"
"2_14","2","14",3,3,-1.30745952273215,-72.9493600445187,0.00636802490595922,"IQR-based on yi"
"2_27","2","27",3,3,-1.13844291841541,-67.9682605972019,0.00569750654055671,"IQR-based on yi"
"2_28","2","28",3,3,-1.13194516975789,-67.7594487366883,0.00318926097474331,"IQR-based on yi"
"2_41","2","41",3,3,-1.23673667503058,-70.9669884771099,0.00706099562814876,"IQR-based on yi"
"2_42","2","42",3,3,-1.31189724627223,-73.0691373403924,0.0110367301990804,"IQR-based on yi"
"7_2","7","2",5,5,3.40452517175483,2910,0.000697906369378482,"IQR-based on yi"
"7_3","7","3",5,5,3.64021428213266,3710,0.000697906369378482,"IQR-based on yi"
"10_7","10","7",4,4,-0.927939949897067,-60.4632651436759,0.000872382961723099,"IQR-based on yi"
"11_7","11","7",4,4,-1.36346632856369,-74.4227353463587,0.0137436220720638,"IQR-based on yi"
"11_18","11","18",4,4,-1.47017584510059,-77.0114942528735,0.0103081042167163,"IQR-based on yi"
"15_8","15","8",4,4,2.26087618045556,859.148936170213,0.000872382961723104,"IQR-based on yi"
"15_9","15","9",4,4,2.63753641677455,1297.87234042553,0.000872382961723105,"IQR-based on yi"
"15_10","15","10",4,4,3.13475388644873,2198.29787234043,0.000872382961723104,"IQR-based on yi"
"15_11","15","11",4,4,2.98202169031548,1872.76595744681,0.000872382961723103,"IQR-based on yi"
"15_12","15","12",4,4,2.81272963381186,1565.53191489362,0.000872382961723103,"IQR-based on yi"
"15_13","15","13",4,4,3.0090474866567,1926.8085106383,0.000872382961723104,"IQR-based on yi"
"15_14","15","14",4,4,2.55903995090159,1192.34042553191,0.000872382961723104,"IQR-based on yi"
"16_2","16","2",4,4,-1.06191092181768,-65.4205607476635,0.0137436220720638,"IQR-based on yi"
"17_13","17","13",3,3,-1.29183557528804,-72.5234033700851,0.0137436220720638,"IQR-based on yi"
"17_14","17","14",3,3,-1.31125366114514,-73.051799459122,0.0137436220720638,"IQR-based on yi"
"17_27","17","27",3,3,-1.26615004927783,-71.8085106382978,0.0137436220720638,"IQR-based on yi"
"17_28","17","28",3,3,-1.3244189574018,-73.4042553191489,0.0127670439112716,"IQR-based on yi"
"17_41","17","41",3,3,-1.23441382982717,-70.8994708994708,0.0137436220720638,"IQR-based on yi"
"17_42","17","42",3,3,-1.29050329647821,-72.4867724867724,0.0137436220720638,"IQR-based on yi"
"19_11","19","11",3,3,1.28093384546206,260,0.00116317728229747,"IQR-based on yi"
"20_8","20","8",4,4,1.27540544524513,258.015267175572,0.000872382961723102,"IQR-based on yi"
"20_13","20","13",4,4,1.41266123696063,310.687022900763,0.000872382961723102,"IQR-based on yi"
"20_14","20","14",4,4,1.56734284326705,379.389312977099,0.000872382961723101,"IQR-based on yi"
"31_35","31","35",6,6,3.11553347336661,2154.54545454545,0.000581588641148737,"IQR-based on yi"
"31_36","31","36",6,6,3.11351530921037,2150,0.000581588641148739,"IQR-based on yi"
"31_37","31","37",6,6,2.47730205040278,1090.90909090909,0.000581588641148739,"IQR-based on yi"
"31_38","31","38",6,6,3.12755766633341,2181.81818181818,0.000581588641148739,"IQR-based on yi"
"31_39","31","39",6,6,2.50366892624352,1122.72727272727,0.000581588641148738,"IQR-based on yi"
"31_40","31","40",6,6,1.44155703979494,322.727272727273,0.000581588641148739,"IQR-based on yi"
"31_41","31","41",6,6,2.38542109857319,986.363636363636,0.000581588641148739,"IQR-based on yi"
"31_42","31","42",6,6,2.35137525716348,950,0.000581588641148738,"IQR-based on yi"
"36_1","36","1",4,4,-1.04164546406143,-64.7126436781609,0.000872382961723102,"IQR-based on yi"
"39_6","39","6",3,3,2.53657866033232,1163.63636363636,0.0137436220720638,"IQR-based on yi"
"39_8","39","8",3,3,2.23683371543126,836.363636363631,0.0137436220720638,"IQR-based on yi"
"39_10","39","10",3,3,2.16645291866946,772.727272727267,0.0137436220720638,"IQR-based on yi"
"42_5","42","5",3,3,1.2350108021624,243.84156628289,0.0137436220720638,"IQR-based on yi"
"42_23","42","23",3,3,1.31483234607638,272.412656847846,0.00770440666141395,"IQR-based on yi"
