"Outcome","Moderator","Moderator_Display","Level","n_effects","n_studies","B_Coefficient","Estimate_lnRR","Estimate_Percent","SE","CI_Lower","CI_Upper","Z_value","P_Value","Omnibus_QM","Omnibus_P","Model"
"TSS","GMM","Mulch material","biodegradable film",138,11,0.1505,0.1505,16.24,0.0452,0.0619,0.239,3.3301,9e-04,21.6461,1e-04,"Nested (Outliers Removed)"
"TSS","GMM","Mulch material","organic",40,2,-0.0235,-0.0235,-2.33,0.1017,-0.2228,0.1757,-0.2315,0.8169,21.6461,1e-04,"Nested (Outliers Removed)"
"TSS","GMM","Mulch material","polyethylene",1,1,0.0751,0.0751,7.79,0.0214,0.033,0.1171,3.5007,5e-04,21.6461,1e-04,"Nested (Outliers Removed)"
"TSS","GMC","Mulch color","Black",34,4,0.1186,0.1186,12.59,0.0314,0.057,0.1802,3.7728,2e-04,18.1318,0.0012,"Nested (Outliers Removed)"
"TSS","GMC","Mulch color","Black/White",84,4,-0.0394,-0.0394,-3.86,0.0822,-0.2004,0.1217,-0.479,0.6319,18.1318,0.0012,"Nested (Outliers Removed)"
"TSS","GMC","Mulch color","Transparent",40,4,0.0968,0.0968,10.17,0.0322,0.0338,0.1599,3.0111,0.0026,18.1318,0.0012,"Nested (Outliers Removed)"
"TSS","GMC","Mulch color","White",3,1,0.0843,0.0843,8.8,0.0376,0.0107,0.158,2.2457,0.0247,18.1318,0.0012,"Nested (Outliers Removed)"
"TSS","Gem","Emitter flow rate","<2",39,6,0.1461,0.1461,15.73,0.0339,0.0796,0.2126,4.3055,0,27.4923,0,"Nested (Outliers Removed)"
"TSS","Gem","Emitter flow rate","2–4",48,3,0.0806,0.0806,8.4,0.0269,0.0278,0.1334,2.9924,0.0028,27.4923,0,"Nested (Outliers Removed)"
"TSS","Arragement","Arragement","subsurface",170,12,0.0824,0.0824,8.59,0.0547,-0.0248,0.1896,1.5072,0.1318,15.1192,5e-04,"Nested (Outliers Removed)"
"TSS","Arragement","Arragement","surface",9,2,0.0836,0.0836,8.72,0.0227,0.0392,0.128,3.6906,2e-04,15.1192,5e-04,"Nested (Outliers Removed)"
"TSS","GST","Soil texture","coarse soils",56,4,0.0705,0.0705,7.3,0.0292,0.0132,0.1277,2.4115,0.0159,17.9576,4e-04,"Nested (Outliers Removed)"
"TSS","GST","Soil texture","fine soils",106,7,0.0403,0.0403,4.11,0.0534,-0.0644,0.1449,0.7544,0.4506,17.9576,4e-04,"Nested (Outliers Removed)"
"TSS","GST","Soil texture","medium soils",17,2,0.123,0.123,13.08,0.0361,0.0521,0.1938,3.4019,7e-04,17.9576,4e-04,"Nested (Outliers Removed)"
"TSS","GpH","Soil pH","<7",140,6,-0.0235,-0.0235,-2.33,0.087,-0.1941,0.147,-0.2704,0.7869,7.8239,0.02,"Nested (Outliers Removed)"
"TSS","GpH","Soil pH","≥7",1,1,0.0568,0.0568,5.84,0.0204,0.0168,0.0967,2.784,0.0054,7.8239,0.02,"Nested (Outliers Removed)"
"TSS","GSOM","Soil organic matter","< 1.5%",46,3,0.0585,0.0585,6.02,0.0434,-0.0266,0.1436,1.3466,0.1781,5.8084,0.0548,"Nested (Outliers Removed)"
"TSS","GSOM","Soil organic matter","≥ 1.5%",21,3,0.0797,0.0797,8.29,0.0399,0.0015,0.1578,1.9988,0.0456,5.8084,0.0548,"Nested (Outliers Removed)"
"TSS","Gbd","Soil bulk density","<1.35",150,8,0.1519,0.1519,16.41,0.0427,0.0682,0.2357,3.5555,4e-04,23.722,0,"Nested (Outliers Removed)"
"TSS","Gbd","Soil bulk density","≥ 1.35",19,2,0.0708,0.0708,7.33,0.0213,0.0291,0.1124,3.3287,9e-04,23.722,0,"Nested (Outliers Removed)"
"TSS","GCLI","Climate zone","Arid",146,7,0.0966,0.0966,10.15,0.0244,0.0489,0.1444,3.9661,1e-04,24.9033,0,"Nested (Outliers Removed)"
"TSS","GCLI","Climate zone","Equatorial",32,5,0.2743,0.2743,31.57,0.0988,0.0807,0.468,2.7772,0.0055,24.9033,0,"Nested (Outliers Removed)"
"TSS","GCLI","Climate zone","Warm temperate",1,1,0.039,0.039,3.98,0.0323,-0.0243,0.1024,1.2085,0.2269,24.9033,0,"Nested (Outliers Removed)"
"TSS","GSRain","Rainfall","≤200",108,10,0.0722,0.0722,7.48,0.0225,0.028,0.1164,3.2,0.0014,10.6195,0.0049,"Nested (Outliers Removed)"
"TSS","GSRain","Rainfall","200–500",34,2,0.0744,0.0744,7.73,0.0289,0.0178,0.131,2.5758,0.01,10.6195,0.0049,"Nested (Outliers Removed)"
"TSS","GN","Nitrogen","<100",67,5,0.028,0.028,2.83,0.0413,-0.0531,0.109,0.6762,0.4989,10.4353,0.0152,"Nested (Outliers Removed)"
"TSS","GN","Nitrogen","100–200",13,2,0.0603,0.0603,6.21,0.0331,-0.0046,0.1252,1.8218,0.0685,10.4353,0.0152,"Nested (Outliers Removed)"
"TSS","GN","Nitrogen","200–300",55,3,0.1323,0.1323,14.15,0.0513,0.0318,0.2328,2.5805,0.0099,10.4353,0.0152,"Nested (Outliers Removed)"
"TSS","Continent","Continent","Asia",175,11,0.096,0.096,10.07,0.0203,0.0562,0.1358,4.7263,0,22.6526,0,"Nested (Outliers Removed)"
"TSS","Continent","Continent","Europe",3,1,-0.0394,-0.0394,-3.86,0.0772,-0.1906,0.1119,-0.5099,0.6101,22.6526,0,"Nested (Outliers Removed)"
"TSS","Continent","Continent","Oceania",1,1,-0.0235,-0.0235,-2.33,0.1009,-0.2213,0.1743,-0.2331,0.8157,22.6526,0,"Nested (Outliers Removed)"
