"unique_id","Study","Effect_ID","n_Treat","n_CK","Effect_Size_lnRR","Percent_Change","Variance","Outlier_Reason"
"5_1","5","1",4,4,-0.85365516088267,-57.4144486692015,0.00885355459212299,"IQR-based on yi"
"5_2","5","2",4,4,-0.94446160884085,-61.111111111111,0.00885355459212299,"IQR-based on yi"
"6_13","6","13",3,3,-0.46455402447817,-37.1584699453552,0.00885355459212299,"IQR-based on yi"
"6_27","6","27",3,3,-0.464305608131099,-37.1428571428572,0.00875162759318624,"IQR-based on yi"
"6_37","6","37",3,3,-0.402836985701892,-33.1578947368419,0.00797286558562021,"IQR-based on yi"
"6_41","6","41",3,3,-0.546543706368072,-42.1052631578949,0.00706210938394308,"IQR-based on yi"
"8_1","8","1",3,3,0.853927386135044,134.885361595781,0.000598562814125721,"IQR-based on yi"
"11_2","11","2",3,3,0.69560374315609,100.491916483665,0.000598562814125722,"IQR-based on yi"
"11_3","11","3",3,3,0.69804325091356,100.981615138213,0.000598562814125723,"IQR-based on yi"
"12_1","12","1",5,5,0.998528830111127,171.428571428571,0.000598562814125721,"IQR-based on yi"
"12_2","12","2",5,5,0.693147180559945,100,0.000598562814125721,"IQR-based on yi"
"12_3","12","3",5,5,0.566395474920801,76.1904761904762,0.000598562814125721,"IQR-based on yi"
"14_1","14","1",4,4,1.37392306931734,295.081967213115,0.000598562814125721,"IQR-based on yi"
"14_2","14","2",4,4,0.709407701431723,103.27868852459,0.000598562814125721,"IQR-based on yi"
"14_4","14","4",4,4,-0.89199803930511,-59.0163934426229,0.000598562814125721,"IQR-based on yi"
