"Outcome","Moderator","Moderator_Display","Level","n_effects","n_studies","B_Coefficient","Estimate_lnRR","Estimate_Percent","SE","CI_Lower","CI_Upper","Z_value","P_Value","Omnibus_QM","Omnibus_P","Model"
"VC","GMM","Mulch material","biodegradable film",103,6,0.1222,0.1222,13,0.0201,0.0828,0.1616,6.0822,0,136.0632,0,"Nested (Outliers Removed)"
"VC","GMM","Mulch material","polyethylene",39,2,0.1202,0.1202,12.77,0.0118,0.097,0.1434,10.1496,0,136.0632,0,"Nested (Outliers Removed)"
"VC","GMC","Mulch color","Black",29,4,0.1325,0.1325,14.17,0.0145,0.1041,0.1608,9.1653,0,802.5628,0,"Nested (Outliers Removed)"
"VC","GMC","Mulch color","Transparent",86,3,0.1063,0.1063,11.22,0.011,0.0848,0.1279,9.6778,0,802.5628,0,"Nested (Outliers Removed)"
"VC","GMC","Mulch color","White",20,2,0.1365,0.1365,14.62,0.0055,0.1258,0.1472,24.998,0,802.5628,0,"Nested (Outliers Removed)"
"VC","Gem","Emitter flow rate","<2",11,2,0.1202,0.1202,12.77,0.0114,0.0979,0.1425,10.5515,0,131.5108,0,"Nested (Outliers Removed)"
"VC","Gem","Emitter flow rate","2–4",47,3,0.0966,0.0966,10.14,0.0215,0.0544,0.1387,4.4918,0,131.5108,0,"Nested (Outliers Removed)"
"VC","Arragement","Arragement","subsurface",135,6,0.1062,0.1062,11.2,0.0277,0.052,0.1604,3.8405,1e-04,155.7726,0,"Nested (Outliers Removed)"
"VC","Arragement","Arragement","surface",7,1,0.1232,0.1232,13.12,0.0104,0.1029,0.1436,11.8753,0,155.7726,0,"Nested (Outliers Removed)"
"VC","GST","Soil texture","coarse soils",51,4,0.1304,0.1304,13.93,0.012,0.1069,0.1538,10.9043,0,192.6872,0,"Nested (Outliers Removed)"
"VC","GST","Soil texture","medium soils",91,3,0.1118,0.1118,11.83,0.013,0.0863,0.1373,8.5897,0,192.6872,0,"Nested (Outliers Removed)"
"VC","Gbd","Soil bulk density","<1.35",137,6,0.1203,0.1203,12.78,0.0322,0.0572,0.1834,3.7362,2e-04,144.5883,0,"Nested (Outliers Removed)"
"VC","Gbd","Soil bulk density","≥ 1.35",5,1,0.121,0.121,12.86,0.0106,0.1002,0.1417,11.4293,0,144.5883,0,"Nested (Outliers Removed)"
"VC","GCLI","Climate zone","Arid",137,6,0.119,0.119,12.63,0.0104,0.0986,0.1394,11.4313,0,149.4996,0,"Nested (Outliers Removed)"
"VC","GCLI","Climate zone","Warm temperate",5,1,0.1407,0.1407,15.11,0.0324,0.0771,0.2043,4.3388,0,149.4996,0,"Nested (Outliers Removed)"
"VC","GSRain","Rainfall","≤200",79,6,0.121,0.121,12.86,0.0133,0.0949,0.1471,9.0761,0,82.4969,0,"Nested (Outliers Removed)"
"VC","GSRain","Rainfall","200–500",28,1,0.104,0.104,10.96,0.0187,0.0674,0.1406,5.5655,0,82.4969,0,"Nested (Outliers Removed)"
"VC","GN","Nitrogen","<100",48,2,0.1345,0.1345,14.39,0.0407,0.0548,0.2142,3.3068,9e-04,39.1275,0,"Nested (Outliers Removed)"
"VC","GN","Nitrogen","100–200",10,2,0.1033,0.1033,10.88,0.0298,0.0448,0.1618,3.4614,5e-04,39.1275,0,"Nested (Outliers Removed)"
"VC","GN","Nitrogen","200–300",42,1,0.1306,0.1306,13.95,0.0324,0.067,0.1941,4.0264,1e-04,39.1275,0,"Nested (Outliers Removed)"
